Name,Crossing Number,Genus-3D,Bridge Index,Braid Index,Alexander
11n_173,11,4,3,4,1-4*t+ 8*t^2-7*t^3+ 5*t^4-7*t^5+ 8*t^6-4*t^7+ t^8
11n_174,11,3,3,4,2-11*t+ 22*t^2-27*t^3+ 22*t^4-11*t^5+ 2*t^6
11n_175,11,3,3,5,2-9*t+ 14*t^2-15*t^3+ 14*t^4-9*t^5+ 2*t^6
11n_176,11,3,3,4,1-6*t+ 15*t^2-19*t^3+ 15*t^4-6*t^5+ t^6
11n_177,11,4,3,4,1-5*t+ 11*t^2-16*t^3+ 17*t^4-16*t^5+ 11*t^6-5*t^7+ t^8
11n_178,11,3,3,4,2-9*t+ 22*t^2-29*t^3+ 22*t^4-9*t^5+ 2*t^6
11n_179,11,3,3,4,1-7*t+ 18*t^2-25*t^3+ 18*t^4-7*t^5+ t^6
11n_180,11,3,3,4,3-7*t+ 11*t^2-13*t^3+ 11*t^4-7*t^5+ 3*t^6
11n_181,11,2,3,5,5-11*t+ 13*t^2-11*t^3+ 5*t^4
11n_182,11,4,3,4,1-5*t+ 11*t^2-18*t^3+ 23*t^4-18*t^5+ 11*t^6-5*t^7+ t^8
11n_183,11,3,3,4,1+ t-6*t^2+ 9*t^3-6*t^4+ t^5+ t^6
11n_184,11,3,3,4,2-9*t+ 20*t^2-25*t^3+ 20*t^4-9*t^5+ 2*t^6
11n_185,11,3,3,4,2-11*t+ 24*t^2-31*t^3+ 24*t^4-11*t^5+ 2*t^6
12a_1,12,4,3,5,1-7*t+ 23*t^2-46*t^3+ 59*t^4-46*t^5+ 23*t^6-7*t^7+ t^8
12a_2,12,4,3,5,1-7*t+ 21*t^2-36*t^3+ 41*t^4-36*t^5+ 21*t^6-7*t^7+ t^8
12a_3,12,3,3,6,2-14*t+ 40*t^2-57*t^3+ 40*t^4-14*t^5+ 2*t^6
